Partner;Dependents;tenure;PhoneService;InternetService;Contract;PaperlessBilling;PaymentMethod;MonthlyCharges;TotalCharges;Churn;Date;Treatment
No;Yes;64;Yes;Fiber optic;Month-to-month;Yes;Automatic; 99,15;6171,20;0;2015-01-13;1
No;No; 1;Yes;No;Month-to-month;Yes;Mailed check; 20,20;  20,20;1;2020-03-17;0
No;No; 6;No;DSL;Month-to-month;No;Automatic; 29,45; 161,45;0;2019-10-19;0
Yes;No;50;Yes;No;Two year;No;Electronic check; 19,80;1013,20;0;2016-03-08;0
No;No; 6;Yes;DSL;Month-to-month;Yes;Automatic; 59,15; 336,70;0;2019-10-19;0
Yes;Yes; 7;Yes;DSL;Month-to-month;No;Electronic check; 44,75; 333,65;0;2019-09-19;1
Yes;Yes;72;Yes;Fiber optic;Two year;Yes;Automatic; 90,80;6511,80;0;2014-05-18;0
Yes;No; 8;Yes;DSL;Month-to-month;Yes;Automatic; 49,55; 393,45;0;2019-08-20;0
Yes;Yes;67;Yes;Fiber optic;Two year;No;Automatic;106,70;7009,50;0;2014-10-15;0
Yes;No;24;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 93,55;2264,05;1;2018-04-27;0
Yes;No;72;Yes;Fiber optic;Two year;Yes;Automatic; 94,45;6921,70;0;2014-05-18;1
Yes;Yes;33;Yes;No;One year;Yes;Automatic; 19,45; 600,25;0;2017-07-31;0
No;No; 2;No;DSL;Month-to-month;Yes;Electronic check; 25,05;  56,35;1;2020-02-16;1
Yes;No;70;Yes;DSL;Two year;No;Mailed check; 67,95;4664,15;0;2014-07-17;1
No;No;22;Yes;DSL;One year;No;Automatic; 65,25;1441,80;0;2018-06-26;1
No;No;59;Yes;Fiber optic;Month-to-month;Yes;Automatic; 99,45;5623,70;0;2015-06-12;0
No;No;36;Yes;No;One year;Yes;Automatic; 20,35; 695,85;0;2017-05-02;1
Yes;Yes;51;Yes;No;Two year;No;Mailed check; 19,95;1028,75;0;2016-02-07;0
Yes;No;53;Yes;DSL;One year;No;Automatic; 77,40;4155,95;0;2015-12-09;1
Yes;Yes;20;Yes;No;One year;No;Automatic; 19,70; 395,60;0;2018-08-25;0
Yes;No;63;Yes;Fiber optic;Two year;No;Automatic; 99,70;6330,40;0;2015-02-12;1
No;No;40;Yes;Fiber optic;Month-to-month;No;Automatic; 74,80;2971,70;0;2017-01-02;0
No;No;35;Yes;No;One year;Yes;Mailed check; 19,15; 638,00;0;2017-06-01;1
Yes;Yes;26;Yes;Fiber optic;One year;No;Automatic; 78,95;2034,25;0;2018-02-26;0
Yes;No;27;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 95,55;2510,20;1;2018-01-27;0
No;Yes;53;Yes;DSL;One year;No;Automatic; 62,85;3419,50;0;2015-12-09;1
Yes;No;34;Yes;Fiber optic;Month-to-month;No;Automatic; 71,55;2427,35;0;2017-07-01;1
Yes;No;19;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 94,95;1760,25;0;2018-09-24;1
Yes;No;43;Yes;Fiber optic;Month-to-month;Yes;Automatic; 86,10;3551,65;0;2016-10-04;0
Yes;Yes; 6;Yes;No;Month-to-month;No;Mailed check; 19,55; 122,90;0;2019-10-19;1
No;Yes;56;Yes;No;Two year;Yes;Mailed check; 24,80;1424,20;0;2015-09-10;1
No;No;57;No;DSL;Month-to-month;Yes;Electronic check; 39,30;2111,45;1;2015-08-11;1
Yes;Yes;34;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 84,05;2909,95;0;2017-07-01;0
No;No;10;No;DSL;Month-to-month;No;Electronic check; 36,25; 374,00;0;2019-06-21;1
No;No; 1;Yes;No;Month-to-month;Yes;Mailed check; 20,25;  20,25;1;2020-03-17;0
No;No;13;No;DSL;Month-to-month;Yes;Electronic check; 23,90; 300,80;1;2019-03-23;0
No;No;56;Yes;Fiber optic;Month-to-month;No;Electronic check; 98,60;5581,05;0;2015-09-10;1
Yes;No;55;Yes;Fiber optic;Month-to-month;Yes;Automatic;103,65;5676,65;0;2015-10-10;1
Yes;Yes;36;Yes;DSL;Two year;Yes;Automatic; 92,90;3379,25;0;2017-05-02;1
Yes;No;47;Yes;No;One year;No;Automatic; 19,90; 942,95;0;2016-06-06;0
Yes;Yes;12;Yes;No;Month-to-month;Yes;Automatic; 20,10; 232,40;0;2019-04-22;0
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 85,45;  85,45;1;2020-03-17;0
No;No;24;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 80,50;2088,45;0;2018-04-27;0
No;No;63;Yes;Fiber optic;One year;No;Automatic; 99,90;6137,00;1;2015-02-12;0
No;No;35;No;DSL;Month-to-month;Yes;Electronic check; 39,85;1434,60;0;2017-06-01;0
No;No;67;Yes;DSL;One year;No;Automatic; 60,50;3870,00;0;2014-10-15;0
No;No;25;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 84,80;2043,45;1;2018-03-28;0
No;No;21;Yes;Fiber optic;Month-to-month;No;Mailed check;103,85;2215,00;0;2018-07-26;1
No;No;13;Yes;DSL;Month-to-month;No;Automatic; 67,80; 842,25;0;2019-03-23;0
Yes;No;35;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 75,20;2576,20;1;2017-06-01;1
Yes;No;71;Yes;No;Two year;No;Automatic; 24,85;1901,00;0;2014-06-17;0
No;No;29;Yes;No;Month-to-month;No;Automatic; 19,35; 601,60;0;2017-11-28;1
Yes;No;71;No;DSL;Two year;No;Electronic check; 49,35;3515,25;1;2014-06-17;1
Yes;No; 7;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 89,00; 605,45;0;2019-09-19;0
No;No;57;No;DSL;Month-to-month;Yes;Electronic check; 55,00;3094,05;0;2015-08-11;1
Yes;No;65;Yes;DSL;Two year;No;Automatic; 76,15;4929,55;0;2014-12-14;1
No;No;27;Yes;No;One year;No;Mailed check; 20,30; 595,05;0;2018-01-27;1
No;No; 6;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 74,90; 469,80;1;2019-10-19;0
No;No;72;Yes;Fiber optic;Two year;Yes;Automatic;117,35;8436,25;0;2014-05-18;1
No;No; 1;Yes;No;Month-to-month;Yes;Mailed check; 19,75;  19,75;0;2020-03-17;1
No;No;11;Yes;DSL;Month-to-month;No;Automatic; 45,20; 492,00;0;2019-05-22;1
Yes;Yes;39;Yes;No;Two year;No;Mailed check; 25,20; 987,95;0;2017-02-01;0
No;No;59;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 89,75;5496,90;0;2015-06-12;0
No;No;26;Yes;DSL;One year;No;Automatic; 75,00;1908,35;0;2018-02-26;1
No;No; 2;Yes;DSL;Month-to-month;No;Mailed check; 49,95; 107,10;0;2020-02-16;0
Yes;Yes;72;No;DSL;Two year;No;Automatic; 65,70;4575,35;0;2014-05-18;0
Yes;No;65;Yes;DSL;One year;No;Automatic; 67,05;4309,55;0;2014-12-14;0
Yes;Yes;72;Yes;Fiber optic;Two year;No;Automatic;110,90;7922,75;0;2014-05-18;1
No;No; 6;Yes;Fiber optic;Month-to-month;Yes;Automatic; 87,95; 522,35;0;2019-10-19;1
No;No;32;Yes;No;One year;No;Automatic; 19,80; 587,70;0;2017-08-30;1
Yes;No;50;Yes;DSL;One year;No;Automatic; 75,70;3876,20;0;2016-03-08;0
Yes;No;61;No;DSL;Two year;Yes;Mailed check; 62,15;3778,85;0;2015-04-13;1
No;No;15;Yes;Fiber optic;Month-to-month;Yes;Electronic check;101,25;1457,25;1;2019-01-22;1
Yes;No;72;Yes;Fiber optic;Two year;No;Automatic;115,15;8349,45;0;2014-05-18;0
No;No; 9;Yes;No;Month-to-month;Yes;Mailed check; 18,95; 185,60;1;2019-07-21;0
No;No; 1;Yes;No;Month-to-month;No;Mailed check; 19,50;  19,50;0;2020-03-17;1
No;No;12;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 86,55;1066,90;0;2019-04-22;0
No;No;37;No;DSL;Month-to-month;No;Automatic; 28,60; 973,55;1;2017-04-02;1
Yes;Yes;61;Yes;No;One year;No;Mailed check; 20,40;1226,45;0;2015-04-13;0
Yes;Yes;18;Yes;No;One year;No;Automatic; 19,80; 342,30;0;2018-10-24;1
No;Yes;21;Yes;DSL;Month-to-month;No;Mailed check; 45,65; 985,05;0;2018-07-26;0
Yes;Yes;68;No;DSL;Two year;Yes;Mailed check; 56,40;3948,45;0;2014-09-15;1
No;No;12;Yes;Fiber optic;Month-to-month;Yes;Automatic; 73,30; 828,05;0;2019-04-22;1
No;No; 2;No;DSL;Month-to-month;No;Electronic check; 24,35;  41,85;1;2020-02-16;0
Yes;No;62;Yes;Fiber optic;Month-to-month;Yes;Electronic check;101,35;6164,70;0;2015-03-14;0
No;No;29;Yes;Fiber optic;Month-to-month;No;Electronic check; 98,65;2862,75;1;2017-11-28;0
No;Yes; 1;No;DSL;Month-to-month;No;Mailed check; 33,60;  33,60;0;2020-03-17;1
Yes;No; 5;Yes;Fiber optic;Month-to-month;Yes;Automatic; 79,90; 343,95;1;2019-11-18;0
No;No; 1;Yes;No;Month-to-month;No;Electronic check; 20,70;  20,70;0;2020-03-17;1
No;Yes;62;Yes;Fiber optic;Two year;Yes;Electronic check;104,05;6590,50;0;2015-03-14;1
Yes;Yes;36;Yes;No;Two year;No;Automatic; 20,25; 717,95;0;2017-05-02;0
No;No;28;Yes;Fiber optic;Month-to-month;Yes;Electronic check;103,30;2890,65;1;2017-12-28;0
Yes;Yes;69;Yes;DSL;One year;No;Automatic; 73,70;4885,85;0;2014-08-16;1
Yes;No;11;Yes;Fiber optic;Month-to-month;Yes;Automatic; 96,20;1222,05;1;2019-05-22;1
Yes;No;63;Yes;Fiber optic;Month-to-month;Yes;Electronic check;108,75;6871,70;0;2015-02-12;0
No;No;23;Yes;No;One year;No;Automatic; 20,15; 405,60;0;2018-05-27;1
No;No;10;Yes;No;Month-to-month;No;Automatic; 19,75; 208,25;0;2019-06-21;1
Yes;No;71;Yes;No;Two year;Yes;Automatic; 25,95;1801,90;0;2014-06-17;0
No;No;45;Yes;DSL;Month-to-month;Yes;Electronic check; 70,05;3062,45;0;2016-08-05;0
Yes;Yes;70;Yes;No;Two year;No;Mailed check; 24,05;1764,75;0;2014-07-17;1
No;Yes;22;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 84,75;1816,75;0;2018-06-26;0
Yes;Yes;52;Yes;No;Two year;No;Mailed check; 23,05;1255,10;0;2016-01-08;1
Yes;No;55;Yes;Fiber optic;One year;Yes;Electronic check;104,15;5743,05;1;2015-10-10;0
No;No;65;No;DSL;Two year;No;Automatic; 59,95;3921,10;0;2014-12-14;1
Yes;Yes;72;Yes;No;Two year;No;Automatic; 19,55;1463,45;0;2014-05-18;0
Yes;No;10;Yes;No;One year;No;Automatic; 19,60; 189,45;0;2019-06-21;1
No;Yes; 7;Yes;No;One year;No;Mailed check; 20,05;  96,80;0;2019-09-19;0
No;No; 5;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 85,55; 408,50;0;2019-11-18;1
Yes;Yes;24;Yes;DSL;Two year;No;Automatic; 78,60;1846,65;0;2018-04-27;1
Yes;Yes;72;Yes;Fiber optic;Two year;Yes;Automatic;116,80;8456,75;0;2014-05-18;1
No;No;21;No;DSL;Month-to-month;Yes;Mailed check; 43,55;1011,50;0;2018-07-26;0
Yes;No;69;No;DSL;One year;Yes;Automatic; 60,80;4263,40;0;2014-08-16;1
Yes;Yes;44;Yes;DSL;Month-to-month;Yes;Automatic; 54,90;2549,10;0;2016-09-04;1
Yes;Yes;61;Yes;DSL;One year;Yes;Electronic check; 65,20;3965,05;0;2015-04-13;0
No;No;24;Yes;Fiber optic;Month-to-month;Yes;Automatic;102,95;2496,70;1;2018-04-27;1
No;No; 1;Yes;Fiber optic;Month-to-month;No;Electronic check; 90,60;  90,60;1;2020-03-17;0
No;No; 6;Yes;DSL;Month-to-month;Yes;Automatic; 50,80; 288,05;1;2019-10-19;1
No;No; 4;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 90,05; 368,10;1;2019-12-18;0
Yes;No;72;Yes;Fiber optic;Two year;Yes;Electronic check;108,20;7840,60;0;2014-05-18;0
No;No;72;Yes;DSL;Two year;No;Automatic; 92,00;6632,75;0;2014-05-18;1
Yes;No;14;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 75,10;1013,35;0;2019-02-21;0
No;No; 7;Yes;No;Month-to-month;Yes;Automatic; 25,05; 152,95;0;2019-09-19;0
No;No;48;Yes;Fiber optic;One year;No;Electronic check; 75,15;3772,65;0;2016-05-07;1
Yes;Yes;55;Yes;No;One year;No;Mailed check; 19,50;1026,35;0;2015-10-10;0
No;No; 1;Yes;No;Month-to-month;No;Automatic; 19,30;  19,30;0;2020-03-17;1
No;No;45;Yes;Fiber optic;One year;No;Automatic;112,20;5031,85;0;2016-08-05;1
No;No; 3;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 70,30; 220,40;0;2020-01-17;1
Yes;No;71;Yes;No;Two year;No;Mailed check; 19,60;1416,50;0;2014-06-17;0
Yes;No; 8;Yes;No;Month-to-month;No;Mailed check; 20,25; 158,35;0;2019-08-20;0
Yes;No; 3;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 75,85; 256,60;1;2020-01-17;0
Yes;Yes;69;Yes;DSL;Two year;No;Automatic; 80,65;5542,55;0;2014-08-16;0
Yes;Yes; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 68,50;  68,50;1;2020-03-17;0
Yes;No;72;Yes;Fiber optic;Two year;Yes;Automatic;115,75;8443,70;0;2014-05-18;1
No;No;11;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 73,50; 791,75;1;2019-05-22;0
No;No;71;Yes;DSL;Two year;No;Automatic; 80,60;5708,20;0;2014-06-17;1
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 69,95;  69,95;1;2020-03-17;1
Yes;No;33;No;DSL;Two year;No;Automatic; 59,55;2016,30;0;2017-07-31;0
No;No;16;Yes;No;One year;No;Mailed check; 19,05; 326,65;0;2018-12-23;0
Yes;No;56;Yes;Fiber optic;One year;No;Electronic check; 95,65;5471,75;0;2015-09-10;0
No;No; 1;Yes;No;Month-to-month;No;Automatic; 19,95;  19,95;0;2020-03-17;0
No;No; 5;Yes;DSL;Month-to-month;Yes;Electronic check; 70,05; 346,40;1;2019-11-18;0
Yes;Yes;57;Yes;No;One year;No;Mailed check; 19,40;1061,60;0;2015-08-11;1
Yes;Yes;56;No;DSL;One year;Yes;Automatic; 36,10;1971,50;0;2015-09-10;0
No;No; 8;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 94,00; 773,65;1;2019-08-20;1
Yes;Yes;22;Yes;DSL;Month-to-month;No;Mailed check; 61,15;1422,05;1;2018-06-26;1
No;No; 1;Yes;No;Month-to-month;No;Mailed check; 19,75;  19,75;0;2020-03-17;1
No;Yes;40;Yes;DSL;Month-to-month;Yes;Automatic; 64,10;2460,35;0;2017-01-02;1
Yes;Yes;46;Yes;No;Two year;No;Automatic; 19,75; 856,50;0;2016-07-06;0
Yes;Yes;63;Yes;No;Two year;No;Mailed check; 19,70;1275,85;0;2015-02-12;1
Yes;Yes;68;Yes;Fiber optic;Two year;Yes;Electronic check;110,20;7467,50;0;2014-09-15;1
Yes;Yes;69;Yes;Fiber optic;Two year;Yes;Automatic;106,35;7261,75;0;2014-08-16;0
Yes;No;56;Yes;Fiber optic;Month-to-month;No;Electronic check; 90,55;5116,60;0;2015-09-10;0
Yes;Yes;10;Yes;DSL;One year;Yes;Mailed check; 65,90; 660,05;0;2019-06-21;0
No;No;63;Yes;Fiber optic;One year;No;Automatic;104,50;6590,80;0;2015-02-12;0
Yes;Yes;24;No;DSL;Two year;Yes;Mailed check; 52,50;1208,15;0;2018-04-27;0
No;No;19;Yes;DSL;Month-to-month;Yes;Mailed check; 56,10;1033,90;0;2018-09-24;0
Yes;Yes;22;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 88,75;1885,15;0;2018-06-26;0
Yes;No;29;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 84,45;2467,10;1;2017-11-28;1
Yes;No;13;Yes;DSL;One year;Yes;Mailed check; 75,30; 989,45;1;2019-03-23;0
Yes;No;70;Yes;No;Two year;Yes;Automatic; 26,00;2006,95;0;2014-07-17;0
Yes;No;49;Yes;Fiber optic;Month-to-month;No;Electronic check; 99,40;5025,00;0;2016-04-07;1
Yes;No;43;Yes;Fiber optic;One year;Yes;Mailed check;109,55;4830,25;1;2016-10-04;1
No;No; 3;Yes;No;Month-to-month;Yes;Mailed check; 19,60;  59,75;1;2020-01-17;0
Yes;Yes;42;Yes;DSL;One year;No;Electronic check; 73,15;3088,25;0;2016-11-03;1
No;No;57;Yes;DSL;One year;Yes;Mailed check; 54,65;3134,70;0;2015-08-11;0
No;No; 2;Yes;DSL;Month-to-month;No;Automatic; 66,40;  94,55;1;2020-02-16;1
Yes;No;72;Yes;Fiber optic;Two year;Yes;Automatic;115,55;8312,40;0;2014-05-18;1
No;No;46;Yes;Fiber optic;Month-to-month;Yes;Electronic check;104,45;4863,85;0;2016-07-06;0
Yes;No;66;Yes;Fiber optic;Month-to-month;Yes;Automatic;100,05;6871,90;1;2014-11-14;1
No;No;62;Yes;Fiber optic;One year;No;Electronic check;102,00;6529,25;1;2015-03-14;0
Yes;No;72;Yes;DSL;Two year;Yes;Automatic; 91,15;6637,90;0;2014-05-18;0
Yes;Yes;35;Yes;Fiber optic;One year;Yes;Electronic check; 89,70;3165,60;0;2017-06-01;1
Yes;No;17;Yes;Fiber optic;Month-to-month;No;Automatic; 90,20;1454,15;1;2018-11-23;0
Yes;No;72;Yes;DSL;Two year;Yes;Electronic check; 92,40;6786,10;0;2014-05-18;1
Yes;Yes;28;Yes;No;One year;No;Mailed check; 19,90; 543,00;0;2017-12-28;1
Yes;No;56;Yes;No;Two year;Yes;Automatic; 25,15;1327,15;1;2015-09-10;1
No;No;31;Yes;Fiber optic;Month-to-month;Yes;Automatic; 79,85;2404,15;1;2017-09-29;1
No;No;45;Yes;No;One year;No;Automatic; 18,85; 867,30;0;2016-08-05;1
No;No; 1;Yes;No;Month-to-month;Yes;Mailed check; 25,75;  25,75;0;2020-03-17;0
No;No; 2;Yes;DSL;Month-to-month;Yes;Mailed check; 49,60; 114,70;1;2020-02-16;0
No;No; 6;Yes;No;Month-to-month;Yes;Mailed check; 20,95; 109,50;0;2019-10-19;0
Yes;No;48;Yes;Fiber optic;One year;Yes;Electronic check; 97,05;4692,95;0;2016-05-07;1
Yes;Yes;25;Yes;No;Month-to-month;Yes;Automatic; 25,40; 546,85;0;2018-03-28;0
Yes;Yes;64;Yes;No;Two year;Yes;Automatic; 19,70;1274,05;0;2015-01-13;0
No;No;50;No;DSL;Month-to-month;Yes;Mailed check; 35,00;1782,40;0;2016-03-08;1
Yes;Yes;52;Yes;Fiber optic;One year;No;Automatic;101,25;5301,10;0;2016-01-08;1
Yes;No; 4;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 70,20; 280,35;0;2019-12-18;0
No;No;32;Yes;Fiber optic;Month-to-month;No;Electronic check; 90,95;2897,95;0;2017-08-30;1
Yes;Yes;45;Yes;DSL;Two year;No;Automatic; 73,85;3371,00;0;2016-08-05;1
Yes;No; 9;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 88,05; 801,30;0;2019-07-21;1
Yes;No;66;Yes;Fiber optic;One year;Yes;Automatic;105,95;6975,25;1;2014-11-14;1
No;Yes; 3;Yes;Fiber optic;Month-to-month;No;Electronic check; 91,85; 257,05;1;2020-01-17;0
No;No;54;Yes;No;Two year;No;Mailed check; 20,10;1079,45;0;2015-11-09;1
Yes;Yes; 1;No;DSL;Month-to-month;No;Electronic check; 40,10;  40,10;1;2020-03-17;0
Yes;Yes;64;Yes;Fiber optic;Two year;No;Automatic;110,30;6997,30;0;2015-01-13;0
No;No;31;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 73,90;2217,15;1;2017-09-29;1
No;No;14;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 89,80;1129,10;1;2019-02-21;0
No;No;12;Yes;Fiber optic;One year;Yes;Automatic; 85,15; 979,05;0;2019-04-22;0
Yes;No;67;Yes;DSL;One year;Yes;Automatic; 60,95;4119,40;0;2014-10-15;1
Yes;Yes;35;Yes;DSL;Month-to-month;No;Electronic check; 72,25;2568,55;1;2017-06-01;1
No;No;45;Yes;DSL;Two year;No;Mailed check; 73,55;3349,10;0;2016-08-05;0
No;No;10;Yes;DSL;Month-to-month;No;Mailed check; 46,00; 492,10;0;2019-06-21;1
No;No;29;Yes;DSL;Month-to-month;Yes;Automatic; 58,55;1718,95;0;2017-11-28;1
No;No;24;Yes;No;One year;No;Automatic; 24,60; 605,25;0;2018-04-27;0
Yes;Yes;66;Yes;No;Two year;Yes;Mailed check; 19,75;1344,50;0;2014-11-14;0
No;No;51;Yes;Fiber optic;One year;No;Mailed check; 86,35;4267,15;0;2016-02-07;0
Yes;No;45;Yes;No;Two year;No;Mailed check; 25,50;1121,05;0;2016-08-05;1
Yes;No;49;Yes;No;One year;No;Automatic; 19,00; 918,70;0;2016-04-07;1
Yes;No;29;Yes;No;Two year;Yes;Mailed check; 19,55; 521,80;0;2017-11-28;1
Yes;Yes;40;Yes;Fiber optic;Month-to-month;Yes;Automatic;110,10;4469,10;0;2017-01-02;0
No;No;37;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 96,55;3580,30;1;2017-04-02;0
No;No;25;Yes;Fiber optic;Month-to-month;No;Electronic check; 69,75;1729,35;0;2018-03-28;1
No;No;22;No;DSL;Month-to-month;Yes;Electronic check; 50,60;1073,30;0;2018-06-26;1
No;No;72;No;DSL;Two year;Yes;Automatic; 65,60;4566,50;0;2014-05-18;1
No;No; 7;No;DSL;Month-to-month;Yes;Automatic; 40,10; 293,30;1;2019-09-19;0
Yes;Yes;33;Yes;DSL;Two year;No;Automatic; 82,10;2603,10;0;2017-07-31;1
No;No;23;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 79,10;1783,75;0;2018-05-27;0
No;No;24;Yes;Fiber optic;Month-to-month;Yes;Electronic check;101,25;2440,15;1;2018-04-27;0
No;No; 1;Yes;Fiber optic;Month-to-month;No;Electronic check; 79,55;  79,55;1;2020-03-17;0
No;No;69;Yes;DSL;Two year;No;Mailed check; 90,65;6322,10;0;2014-08-16;0
No;Yes; 3;Yes;No;One year;Yes;Automatic; 20,55;  57,40;0;2020-01-17;1
No;No;56;Yes;DSL;One year;Yes;Automatic; 75,75;4284,65;0;2015-09-10;0
No;No;65;Yes;Fiber optic;One year;Yes;Automatic;110,00;7138,65;0;2014-12-14;0
Yes;No;71;Yes;No;One year;No;Electronic check; 20,85;1539,75;0;2014-06-17;0
No;No;14;Yes;Fiber optic;Month-to-month;Yes;Automatic; 80,35;1058,10;0;2019-02-21;0
No;No; 2;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 70,15; 123,80;0;2020-02-16;1
No;No;32;Yes;Fiber optic;One year;No;Electronic check; 84,05;2781,85;1;2017-08-30;1
No;No;40;Yes;DSL;Month-to-month;No;Electronic check; 67,45;2731,00;0;2017-01-02;1
No;No; 1;Yes;No;Month-to-month;No;Automatic; 20,75;  20,75;0;2020-03-17;1
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 89,10;  89,10;1;2020-03-17;0
No;No; 7;Yes;Fiber optic;Month-to-month;Yes;Mailed check; 69,90; 497,30;0;2019-09-19;1
Yes;No;15;Yes;DSL;Month-to-month;Yes;Electronic check; 51,10; 711,15;0;2019-01-22;0
Yes;Yes;17;Yes;Fiber optic;Month-to-month;No;Electronic check; 94,40;1607,20;1;2018-11-23;1
No;No;19;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 78,25;1490,95;1;2018-09-24;1
No;No;71;Yes;No;Two year;No;Automatic; 25,55;1898,10;0;2014-06-17;1
Yes;Yes;54;Yes;DSL;Two year;No;Automatic; 60,00;3273,95;0;2015-11-09;0
Yes;No;31;Yes;Fiber optic;Month-to-month;Yes;Automatic; 90,55;2929,75;0;2017-09-29;1
No;No;11;Yes;Fiber optic;Month-to-month;No;Electronic check; 76,40; 838,70;0;2019-05-22;0
No;No;18;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 84,95;1443,65;0;2018-10-24;1
No;No;72;Yes;Fiber optic;Two year;Yes;Automatic;110,10;7746,70;0;2014-05-18;0
No;No;71;Yes;Fiber optic;Month-to-month;Yes;Automatic; 99,65;6951,15;0;2014-06-17;0
No;No; 5;No;DSL;Month-to-month;No;Automatic; 45,40; 214,75;0;2019-11-18;1
Yes;No;38;Yes;DSL;One year;No;Automatic; 69,00;2669,45;0;2017-03-03;0
No;Yes; 5;Yes;DSL;Month-to-month;Yes;Automatic; 48,65; 235,20;0;2019-11-18;0
No;No; 2;Yes;DSL;Month-to-month;Yes;Electronic check; 44,15;  92,65;1;2020-02-16;1
No;No;52;Yes;DSL;Two year;No;Automatic; 59,85;3103,25;0;2016-01-08;1
No;No; 8;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 75,75; 606,25;1;2019-08-20;1
No;No;68;Yes;DSL;Two year;Yes;Electronic check; 80,65;5330,20;0;2014-09-15;1
Yes;Yes;69;Yes;No;One year;Yes;Automatic; 20,55;1403,10;0;2014-08-16;0
Yes;No;42;Yes;DSL;Month-to-month;Yes;Automatic; 66,40;2727,80;0;2016-11-03;0
No;No;50;Yes;Fiber optic;Two year;Yes;Mailed check;100,20;5038,45;0;2016-03-08;0
No;No; 1;Yes;No;Month-to-month;Yes;Mailed check; 19,10;  19,10;1;2020-03-17;0
Yes;No; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 80,30;  80,30;1;2020-03-17;1
Yes;No;33;Yes;DSL;Month-to-month;Yes;Automatic; 44,55;1462,60;0;2017-07-31;1
No;No; 7;Yes;No;Month-to-month;No;Mailed check; 20,35; 150,60;0;2019-09-19;0
Yes;Yes;64;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 91,80;5960,50;0;2015-01-13;1
No;No; 1;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 74,90;  74,90;1;2020-03-17;1
No;No;59;Yes;No;Two year;Yes;Automatic; 20,20;1192,30;0;2015-06-12;1
Yes;No; 6;Yes;DSL;Month-to-month;No;Electronic check; 50,35; 314,55;0;2019-10-19;1
No;No; 3;Yes;No;Month-to-month;No;Mailed check; 18,80;  56,00;0;2020-01-17;0
Yes;No;15;Yes;No;Month-to-month;No;Automatic; 20,45; 330,80;0;2019-01-22;1
Yes;Yes;13;Yes;DSL;One year;Yes;Electronic check; 64,75; 877,35;0;2019-03-23;0
No;No;23;Yes;Fiber optic;Month-to-month;Yes;Automatic; 98,70;2249,10;0;2018-05-27;0
Yes;No;31;Yes;Fiber optic;Month-to-month;No;Electronic check; 89,45;2807,65;0;2017-09-29;1
No;No;29;Yes;DSL;One year;Yes;Electronic check; 58,75;1696,20;0;2017-11-28;0
Yes;No;49;Yes;No;One year;No;Automatic; 20,70;1032,05;0;2016-04-07;0
Yes;No;56;Yes;Fiber optic;Month-to-month;Yes;Automatic; 85,60;4902,80;0;2015-09-10;0
No;No;63;Yes;DSL;Two year;Yes;Automatic; 80,30;4995,35;0;2015-02-12;0
Yes;No;63;Yes;DSL;Two year;No;Automatic; 79,80;5034,05;0;2015-02-12;0
Yes;Yes;24;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 79,85;1857,75;0;2018-04-27;0
Yes;No;36;Yes;DSL;One year;No;Automatic; 54,10;1992,85;0;2017-05-02;1
No;No; 9;Yes;Fiber optic;Month-to-month;Yes;Electronic check; 80,85; 751,65;1;2019-07-21;0
